2016-06-1510:00:00,-1, 0.01,-1.23106.3,106.29
2016-06-1511:00:00,1, 0.,-1.23106.29,106.29
2016-06-1512:00:00,1,-0.08,-1.31106.29,106.21
2016-06-1513:00:00,1,-0.07,-1.38106.21,106.14
2016-06-1514:00:00,1,-0.14,-1.52106.14,106.0
2016-06-1515:00:00,1,-0.21,-1.73106.0,105.79
2016-06-1516:00:00,1, 0.08,-1.65105.79,105.87
2016-06-1517:00:00,-1,-0.06,-1.71105.87,105.93
2016-06-1518:00:00,-1, 0.04,-1.67105.93,105.89
2016-06-1519:00:00,1, 0.09,-1.58105.89,105.98
2016-06-1520:00:00,-1,-0.03,-1.61105.98,106.01
2016-06-1521:00:00,-1, 0.01,-1.6106.01,106.0
2016-06-1522:00:00,1,-0.01,-1.61106.0,105.99
2016-06-1523:00:00,1,-0.14,-1.75105.99,105.85
2016-06-1600:00:00,1, 0.03,-1.72105.85,105.88
2016-06-1601:00:00,-1, 0.29,-1.43105.88,105.59
2016-06-1602:00:00,1, 0.06,-1.37105.59,105.65
2016-06-1603:00:00,1,-0.85,-2.22105.65,104.8
2016-06-1604:00:00,1,-0.09,-2.31104.8,104.71
2016-06-1605:00:00,1,-0.49,-2.8104.71,104.22
2016-06-1606:00:00,-1, 0.08,-2.72104.22,104.14
2016-06-1607:00:00,1,-0.46,-3.18104.14,103.68
2016-06-1608:00:00,1, 0.24,-2.94103.68,103.92
2016-06-1609:00:00,1, 0.21,-2.73103.92,104.13
2016-06-1610:00:00,1, 0.21,-2.52104.13,104.34
2016-06-1611:00:00,-1, 0.05,-2.47104.34,104.29
2016-06-1612:00:00,1, 0.11,-2.36104.29,104.4
2016-06-1613:00:00,0,-0.,-2.36104.4,104.15
2016-06-1614:00:00,-1, 0.31,-2.05104.15,103.84
2016-06-1615:00:00,0, 0.,-2.05103.84,103.91
2016-06-1616:00:00,-1,-0.13,-2.18103.91,104.04
2016-06-1617:00:00,-1,-0.31,-2.49104.04,104.35
2016-06-1618:00:00,1,-0.14,-2.63104.35,104.21
2016-06-1619:00:00,1, 0.07,-2.56104.21,104.28
2016-06-1620:00:00,-1,-0.04,-2.6104.28,104.32
2016-06-1621:00:00,1,-0.08,-2.68104.32,104.24
2016-06-1622:00:00,-1,-0.04,-2.72104.24,104.28
2016-06-1623:00:00,-1,-0.06,-2.78104.28,104.34
2016-06-1700:00:00,1, 0.4,-2.38104.34,104.74
2016-06-1701:00:00,-1, 0.02,-2.36104.74,104.72
2016-06-1702:00:00,1,-0.16,-2.52104.72,104.56
2016-06-1703:00:00,0,-0.,-2.52104.56,104.49
2016-06-1704:00:00,1,-0.1,-2.62104.49,104.39
2016-06-1705:00:00,1,-0.16,-2.78104.39,104.23
2016-06-1706:00:00,-1,-0.11,-2.89104.23,104.34
2016-06-1707:00:00,1,-0.04,-2.93104.34,104.3
2016-06-1708:00:00,1,-0.07,-3.104.3,104.23
2016-06-1709:00:00,1, 0.04,-2.96104.23,104.27
2016-06-1710:00:00,0,-0.,-2.96104.27,104.25
2016-06-1711:00:00,-1,-0.,-2.96104.25,104.25
2016-06-1712:00:00,0, 0.,-2.96104.25,104.27
2016-06-1713:00:00,0, 0.,-2.96104.27,104.31
2016-06-1714:00:00,-1, 0.05,-2.91104.31,104.26
2016-06-1715:00:00,-1,-0.01,-2.92104.26,104.27
2016-06-1716:00:00,1,-0.1,-3.02104.27,104.17
2016-06-1717:00:00,-1,-0.05,-3.07104.17,104.22
2016-06-1718:00:00,-1, 0.01,-3.06104.22,104.21
2016-06-1719:00:00,-1,-0.01,-3.07104.21,104.22
2016-06-1720:00:00,1,-0.01,-3.08104.22,104.21
2016-06-1721:00:00,1,-0.11,-3.19104.21,104.1
2016-06-1722:00:00,-1, 0.01,-3.18104.1,104.09
2016-06-1723:00:00,0, 0.,-3.18104.09,104.09
2016-06-1800:00:00,1, 0.,-3.18104.09,104.09
